clean_text,label
بعد استقال رئيس محكم دستوري ننتظر استقال رئيس قضاء سود,OBJ
اهنئ دكتور احمد جمال دين قياد حزب مصر مناسب صدور اول روايت,POS
برادع يستقو امريك مرهاخر و يرسل عصام عري الي اشنطن شئ مقرف,NEG
حري عدال شاهد الان يله اتحادي اول يلم استقصائ يتناول اسرار و واليس تعرض اول مره حول حقيق,OBJ
والد لو اقول خاطر حشيش تضح بس من اقول ملل الل كيل تعطين محاضر عن فسق فجور جنوب شيش ليه كذا يانبع حنان,NEUTRAL
انتخبو عرص انتخبو برص مرس رئيس اين رئيس,NEUTRAL
امير عيد هو الل علا يتقال علي ستريكر صريح اريوك سكه شمال,POS
احك لكم قصه حدثت بين شاب و احد فتي كان ينهم حب بير لكن حدثت غلط احد فهل ستستمر هذه قصه يتم,OBJ
ادعو حضور ندو ثقافي اربعاء مركز اعداد قاد تفاصيل,OBJ
عود جماع اخو الي حيا سياسي نفس ضعه سابق مستحيل طرمخ علي جرائم ماض لن تجعل نتقدم شبر,NEG
علاج سكر اف نتشورال سعودي عراق يمن مصر قطر كويت عمان سوري يبي,OBJ
وطن موجت متعاقبت مقاوم صناع استبداد عمرو حمزاو,OBJ
شاهد اخر لام اضراب عامل مصلح الطب شرع,OBJ
صداق تزرع حيا ازهار مي زياد,POS
اصرار علي استفتاء في ظل وطن ممزق غلي شعب غياب امن قضاء معطل اعلام محاصر هو انعدام احساس مسؤولي نحو مصر,NEG
مصطف حسن علي طريق الل روح عباد وضوء راس ايا نعبد رائض ارك وضوء نيه نيه تطهر من,OBJ
دضياء رشو ان دكتور عبد منعم ابو فتوح اكثر اعتدال سياسي دين كما انه اجتهد في مقاصد شريع,POS
بياد نكه عديد اسم يوسف واب شروق نسخ موبايل,OBJ
د ابو فتوح في عاشر مساء منصب رئيس جمهوري منصب خدم و اسع خدم مصري جميع ترشح هذا منصب,OBJ
انشاء مراكز اهلي خاص تاهيل تدريب معلم مع رفع مستو دخل معلم حتي يتسن لهم قيام واجب,OBJ
ادين شده تقديم كل صاحب راي او ناشط سياس محاكم عسكري علي مجلس عسكر التزام تعهد عدم احال مدني محاكم عسكري,NEG
د عمار علي حسن تحد مسود دستور انتخاب برلماني مقبل يوسف حسين,OBJ
مش هنسال انت اقف جنب تطلب قصاص كلاب داخلي ضربو رصاص جيك,NEUTRAL
عنف مدان ضد منش عام او خاص ضد مجمع محا او اقسام شرط او مقر اعلام حزب اخو اون اين من اجهز امني او من متظاهر,NEG
الل ما يعرفش يقول عدس,OBJ
الي زملائ محام راغب في انضمام مبادر سامع صوت الت تهدف دمج متحد اعاق في مجتمع يسعد اشتراك,POS
اابن مستقبل تشرب حشيش عااد تصااحب نات شغال تضرب ابو ماالو بس تطلع زملكاو هولع في ابو,NEUTRAL
هواجس عام جديد سادس كيف يرتق اداء مهن مجلس شعب مستو توقعات عمرو حمزاو واب شروق,OBJ
ماشاء الل لا قوه الا الل مؤشر ورص قطر يسجل اعل مستو في تاريخ سحب سفراء من قطر,OBJ
هل هنا حضار دون جود مرا يجب ان نثق في قدر مرا فهي دائم جزء من نجاح من غير مرا لن تكون هنا,POS
سابحث غدا مع رئيس تشاد موقف بلد من سد نهض اثيوب,OBJ
من تاب دعو تعايش دكتور عمرو خالد اذا كان لدي دائرت فكر لدي دائرت فكر اذا ظلل علي بعد ستبق,OBJ
لهم لا تحرم خير ما عند بشر ما عند,OBJ
مؤتمر مفكر في ابو ظبي عالم يعيش ثور علم تكنولوچي تواصل انسان نحن نعيش حقب جهل كذب غياب قيم حزين علي يا مصر,NEUTRAL
انا لو نفس اخطط و ارتب و اصرف لوس دني عشان اشو اخو مش حاعرف اخترع حد زي صفوت حجاز,NEG
تحالف بين انصار بيت مقدس و حرس ثور تنفيذ عمل ارهابي في مصر مصر اخو المد شيع عمل ارهابي,NEG
اسم يلم تحب اسف علي ازعاج,POS
مش عيب تكذب عمر ما عملت ولا هعمل لوك لحد لا تمدح نفس,NEG
ضعف انتخاب جماهير لا يقتصر علي احزاب جديد يطال بكل تاكيد قوي راسخ في مشهد سياس الا ان عقود سلطوي مبار طويل انهكت,NEG
مصر قوي حذر من خطر تحول سلط دول مجرد سند سلط عسكري لا تفهم سياس ولا تعي معن دول مهام حدود خارج كره حمل سلاح,NEG
دعلاء اسوان هل يحاسب روائ علي خيال اقر مقال امل علي رابط تال,OBJ
منذ عام حتي الان كل ما قدم انصار تيار شعار اسلامي مصر مجرد مشاريع خناق مع عالم كون ابناء وطن,NEG
